Author,Doc
2254,1575
2254,1591
2254,1736
2254,1903
2254,1956
2254,3778
2254,4638
2255,270
2255,298
2255,371
2255,620
2255,798
2255,868
2255,1245
2255,1291
2255,1404
2255,1482
2255,1532
2255,1672
2255,1690
2255,1849
2255,2272
2255,2297
2255,2307
2255,2587
2255,2627
2255,2688
2255,2880
2255,3115
2255,3210
2255,3270
2255,3421
2255,3422
2255,3517
2255,3838
2255,4016
2255,4088
2255,4265
2255,4340
2255,4469
2255,4876
2255,4958
2256,203
2256,236
2256,315
2256,577
2256,789
2256,1274
2256,1795
2256,1834
2256,1950
2256,2188
2256,2480
2256,2799
2256,2843
2256,2960
2256,3271
2256,3371
2256,3500
2256,3868
2256,4107
2256,4418
2256,4732
2257,86
2257,488
2257,771
2257,821
2257,1166
2257,1461
2257,1890
2257,2175
2257,2593
2257,2631
2257,2666
2257,2727
2257,2935
2257,3001
2257,3205
2257,3335
2257,3979
2257,4061
2257,4249
2257,4465
2257,4561
2257,4975
2258,627
2258,1993
2258,2381
2258,2887
2258,3473
2258,3616
2258,3763
2258,3803
2258,4048
2258,4134
2258,4192
2258,4302
2258,4824
2258,4950
2259,274
2259,303
2259,1069
2259,1214
2259,1639
2259,1750
2259,1988
2259,2158
2259,2414
2259,2544
2259,2844
2259,2880
2259,4245
2259,4373
2259,4486
2259,4617
2259,4888
2259,4981
2259,4983
2260,170
2260,483
2260,567
2260,650
2260,951
2260,1182
2260,1589
2260,1936
2260,2001
2260,2063
2260,2068
2260,2101
2260,2239
2260,2427
2260,2681
2260,3164
2260,3512
2260,3926
2260,3953
2260,4338
2260,4455
2260,4507
2261,195
2261,277
2261,826
2261,1080
2261,1178
2261,1488
2261,1682
2261,1685
2261,1736
2261,2020
2261,2242
2261,2457
2261,2707
2261,2726
2261,2925
2261,3267
2261,3291
2261,3651
2261,3720
2261,3751
2261,4220
2261,4456
2261,4614
2261,4693
2262,816
2262,848
2262,893
2262,966
2262,1034
2262,1053
2262,1970
2262,2625
2262,2669
2262,3469
2262,3988
2262,4561
2262,4658
2262,4935
2262,4960
2263,35
2263,743
2263,1249
2263,1368
2263,1408
2263,1456
2263,1726
2263,1869
2263,2227
2263,3216
2263,3253
2263,3849
2263,3864
2263,3988
2263,4266
2263,4805
2263,4832
2263,4984
2264,102
2264,119
2264,916
2264,1009
2264,1160
2264,1419
2264,1756
2264,2458
2264,2692
2264,2762
2264,3149
2264,3218
2264,3272
2264,3447
2264,3478
2264,3710
2264,4481
2264,4929
2265,3
2265,143
2265,685
2265,726
2265,835
2265,875
2265,888
2265,1063
2265,1072
2265,1255
2265,1421
2265,1477
2265,1874
2265,1951
2265,2119
2265,3025
2265,3135
2265,3607
2265,3635
2265,3648
2265,3902
2265,4341
2265,4755
2266,66
2266,556
2266,670
2266,753
2266,911
2266,1004
2266,1193
2266,1345
2266,1355
2266,1407
2266,1599
2266,1613
2266,1736
2266,1783
2266,1922
2266,2176
2266,2524
2266,2543
2266,2704
2266,3243
2266,3718
2266,3748
2266,3929
2266,4410
2267,78
2267,186
2267,213
2267,774
2267,1000
2267,1050
2267,1196
2267,1330
2267,1566
2267,1912
2267,1930
2267,2109
2267,2617
2267,3184
2267,3304
2267,3469
2267,3576
2267,3582
2267,3852
2267,4327
2267,4370
2267,4483
2268,55
2268,569
2268,678
2268,812
2268,857
2268,1099
2268,1115
2268,1199
2268,1515
2268,2153
2268,2403
2268,2487
2268,2708
2268,3615
2268,3791
2268,3907
2268,3914
2268,4059
2269,283
2269,608
2269,902
2269,921
2269,1980
2269,2161
2269,2292
2269,2427
2269,2571
2269,2802
2269,3042
2269,3295
2269,3493
2269,3720
2269,3758
2269,4024
2270,14
2270,367
2270,476
2270,945
2270,1252
2270,1340
2270,1649
2270,1906
2270,2275
2270,2387
2270,2536
2270,2560
2270,2967
2270,3056
2270,3195
2270,3291
2270,4079
2270,4085
2270,4129
2270,4241
2270,4448
2270,4757
2270,4990
2271,49
2271,271
2271,478
2271,504
2271,703
2271,763
2271,1186
2271,1555
2271,1709
2271,2123
2271,2220
2271,2442
2271,2515
2271,2723
2271,2769
2271,3364
2271,3378
2271,3542
2271,3830
2271,4473
2271,4768
2272,50
2272,94
2272,152
2272,248
2272,284
2272,298
2272,588
2272,621
2272,778
2272,884
2272,1117
2272,1470
2272,1628
2272,2072
2272,2141
2272,2837
2272,3444
2272,3558
2272,3697
2272,3790
2272,3890
2272,3915
2272,4679
2272,4913
2272,4985
2273,51
2273,111
2273,117
2273,244
2273,301
2273,492
2273,1160
2273,1351
2273,1460
2273,1844
2273,2122
2273,2203
2273,2295
2273,2872
2273,3025
2273,3812
2273,4441
2274,241
2274,281
2274,476
2274,876
2274,1403
2274,1703
2274,1783
2274,1813
2274,1860
2274,2191
2274,2338
2274,2542
2274,2710
2274,2831
2274,3420
2274,3863
2274,3945
2274,4348
2274,4893
2274,4906
2275,44
2275,188
2275,336
2275,451
2275,624
2275,1127
2275,1587
2275,1986
2275,2836
2275,2898
2275,3351
2275,4105
2275,4243
2275,4275
2275,4289
2275,4388
2275,4529
2275,4691
2275,4835
2275,4918
2276,417
2276,460
2276,731
2276,834
2276,1226
2276,1661
2276,2126
2276,2597
2276,2744
2276,2763
2276,3751
2276,4168
2276,4272
2276,4535
2276,4633
2276,4835
2277,131
2277,537
2277,597
2277,807
2277,928
2277,1054
2277,1299
2277,1426
2277,1466
2277,1853
2277,1942
2277,2315
2277,2614
2277,2878
2277,3108
2277,3117
2277,3263
2277,3553
2277,4033
2277,4256
2277,4519
2277,4560
2278,326
2278,367
2278,709
2278,791
2278,992
2278,1242
2278,1407
2278,1841
2278,1845
2278,1878
2278,2186
2278,2773
2278,2779
2278,3790
2278,3811
2278,3856
2278,3899
2278,3901
2278,4043
2278,4052
2278,4093
2278,4619
2278,4740
2279,251
2279,335
2279,345
2279,734
2279,829
2279,1253
2279,1381
2279,1710
2279,2282
2279,2691
2279,2765
2279,2828
2279,3222
2279,3487
2279,3680
2279,4826
2280,605
2280,750
2280,842
2280,1288
2280,1636
2280,1781
2280,1867
2280,2082
2280,2227
2280,2351
2280,3108
2280,3342
2280,3609
2280,3693
2280,3806
2280,3829
2280,4088
2280,4115
2280,4654
2280,4905
2281,135
2281,417
2281,884
2281,1196
2281,1203
2281,1240
2281,1283
2281,1473
2281,1723
2281,2351
2281,2377
2281,2606
2281,2671
2281,3402
2281,3609
2281,3656
2281,3924
2281,4068
2281,4366
2281,4488
2281,4729
2281,4966
2281,4986
2282,92
2282,116
2282,298
2282,514
2282,715
2282,879
2282,914
2282,953
2282,1275
2282,1540
2282,2003
2282,2204
2282,2498
2282,2548
2282,2712
2282,3414
2282,3674
2282,3979
2282,4397
2282,4975
2283,153
2283,392
2283,504
2283,1002
2283,1034
2283,1096
2283,1111
2283,1500
2283,2036
2283,2288
2283,2364
2283,2543
2283,2560
2283,2789
2283,3025
2283,3644
2283,3832
2283,4008
2283,4479
2283,4736
2284,481
2284,933
2284,1696
2284,1975
2284,2576
2284,2596
2284,3033
2284,3096
2284,3257
2284,3396
2284,3900
2284,3967
2284,4230
2284,4431
2284,4553
2284,4559
2284,4799
2285,198
2285,580
2285,800
2285,953
2285,1059
2285,1721
2285,1779
2285,2790
2285,2798
2285,2840
2285,2939
2285,3232
2285,3317
2285,3351
2285,3424
2285,3435
2285,4001
2285,4091
2285,4107
2285,4172
2285,4236
2285,4610
2285,4668
2285,4728
2285,4754
2285,4774
2285,4865
2286,260
2286,363
2286,370
2286,384
2286,602
2286,730
2286,764
2286,892
2286,1469
2286,1819
2286,2304
2286,2662
2286,3108
2286,3297
2286,3522
2286,3674
2286,3748
2286,3911
2286,3955
2286,4651
2286,4714
2286,4719
2286,4988
2287,46
2287,201
2287,311
2287,432
2287,633
2287,1108
2287,1125
2287,1647
2287,1936
2287,2771
2287,2779
2287,2913
2287,2997
2287,3175
2287,3205
2287,3314
2287,3508
2287,3663
2287,3783
2287,3957
2287,4016
2287,4200
2287,4341
2287,4404
2287,4578
2287,4590
2288,443
2288,593
2288,800
2288,1728
2288,1883
2288,2152
2288,2270
2288,2603
2288,2804
2288,3451
2288,3714
2288,3987
2288,4126
2288,4238
2288,4390
2288,4704
2288,4725
2289,264
2289,438
2289,602
2289,730
2289,1029
2289,1075
2289,1703
2289,2762
2289,2845
2289,3263
2289,3692
2289,3942
2289,3963
2289,4237
2289,4309
2290,255
2290,344
2290,595
2290,901
2290,910
2290,917
2290,1265
2290,1563
2290,1996
2290,2061
2290,2161
2290,2223
2290,2292
2290,3114
2290,3456
2290,4273
2290,4328
2290,4786
2290,4898
2290,4908
2291,214
2291,466
2291,815
2291,1357
2291,1599
2291,2037
2291,2141
2291,2149
2291,2235
2291,2459
2291,2603
2291,2816
2291,2961
2291,3016
2291,3515
2291,3569
2291,3668
2291,4297
2291,4470
2291,4698
2291,4774
2291,4853
2291,4874
2292,110
2292,176
2292,267
2292,1279
2292,1993
2292,2030
2292,2199
2292,2603
2292,2612
2292,2839
2292,2959
2292,3075
2292,3265
2292,3418
2292,4243
2292,4539
2292,4695
2292,4865
2293,47
2293,222
2293,264
2293,325
2293,414
2293,513
2293,570
2293,662
2293,841
2293,852
2293,910
2293,1254
2293,1504
2293,1908
2293,2147
2293,2471
2293,2476
2293,2488
2293,3150
2293,3588
2293,3975
2293,4069
2293,4480
2293,4643
2293,4905
2294,907
2294,1028
2294,1165
2294,1411
2294,1508
2294,1558
2294,1766
2294,1775
2294,1806
2294,2024
2294,2147
2294,2415
2294,2582
2294,2589
2294,2830
2294,3032
2294,3144
2294,3499
2294,3584
2294,3609
2294,3968
2294,4113
2294,4407
2294,4940
2295,64
2295,211
2295,223
2295,260
2295,262
2295,489
2295,848
2295,1209
2295,1482
2295,1572
2295,1760
2295,1851
2295,1965
2295,2411
2295,2612
2295,2800
2295,2881
2295,3012
2295,4226
2295,4248
2295,4293
2295,4377
2295,4418
2295,4446
2295,4616
2296,412
2296,609
2296,762
2296,819
2296,948
2296,974
2296,1194
2296,1241
2296,1343
2296,1623
2296,1907
2296,1994
2296,2214
2296,2753
2296,2851
2296,2953
2296,3057
2296,3176
2296,3191
2296,3574
2296,3702
2296,3708
2296,3805
2296,4340
2296,4546
2296,4630
2297,124
2297,319
2297,354
2297,427
2297,883
2297,1059
2297,1138
2297,1175
2297,1256
2297,1677
2297,1823
2297,1884
2297,1938
2297,2013
2297,2283
2297,3605
2297,3719
2297,4505
2298,68
2298,88
2298,227
2298,427
2298,553
2298,681
2298,932
2298,984
2298,1068
2298,1136
2298,1406
2298,1707
2298,1753
2298,1795
2298,1975
2298,1994
2298,2730
2298,2810
2298,2987
2298,2989
2298,3009
2298,3376
2298,3895
2298,4233
2298,4387
2298,4774
2298,4862
2299,239
2299,538
2299,628
2299,670
2299,754
2299,989
2299,1221
2299,1285
2299,1507
2299,1606
2299,1690
2299,1790
2299,2038
2299,2790
2299,3497
2299,3915
2299,4087
2299,4458
2299,4680
2299,4920
2300,57
2300,120
2300,188
2300,195
2300,1396
2300,1799
2300,1815
2300,1971
2300,2646
2300,3328
2300,3388
2300,3408
2300,3791
2300,4098
2300,4232
2300,4251
2300,4349
2300,4453
2300,4974
2301,317
2301,421
2301,1146
2301,1477
2301,1549
2301,1844
2301,1910
2301,1962
2301,2267
2301,2815
2301,3070
2301,3233
2301,3748
2301,3957
2301,3998
2301,4489
2302,113
2302,871
2302,934
2302,1155
2302,1192
2302,1407
2302,1450
2302,1829
2302,2311
2302,2539
2302,2543
2302,2781
2302,2862
2302,3051
2302,3325
2302,3437
2302,3888
2302,4247
2302,4281
2302,4428
2302,4723
2303,275
2303,489
2303,818
2303,999
2303,1156
2303,1414
2303,2522
2303,2587
2303,2788
2303,3309
2303,3630
2303,3664
2303,4168
2303,4425
2303,4614
2303,4615
2304,180
2304,482
2304,532
