q5_array_0threads_10246893.so, 6.01153 sec
q5_array_0threads_1476432.so, 0.450232 sec
q5_array_0threads_2981669.so, 9.39459 sec
q5_array_0threads_4945389.so, 7.0086 sec
q5_array_0threads_5450530.so, 17.5186 sec
q5_array_1threads_10246893.so, 8.44409 sec
q5_array_1threads_1476432.so, 0.616175 sec
q5_array_1threads_2981669.so, 13.1302 sec
q5_array_1threads_4945389.so, 9.70537 sec
q5_array_1threads_5350530.so, 24.4599 sec
q5_array_2threads_10246893.so, 5.0923 sec
q5_array_2threads_1476432.so, 0.556963 sec
q5_array_2threads_2981669.so, 8.60043 sec
q5_array_2threads_4945389.so, 5.65416 sec
q5_array_2threads_5450530.so, 15.3865 sec
q5_array_4threads_10246893.so, 3.87647 sec
q5_array_4threads_1476432.so, 0.631443 sec
q5_array_4threads_2981669.so, 6.4828 sec
q5_array_4threads_4945389.so, 3.84095 sec
q5_array_4threads_5450530.so, 9.95235 sec
