q5_array_0threads_10246893.so, 48.8149 sec
q5_array_0threads_1476432.so, 78.3709 sec
q5_array_0threads_2981669.so, 96.1387 sec
q5_array_0threads_4945389.so, 50.6831 sec
q5_array_0threads_5450530.so, 93.6759 sec
q5_array_1threads_10246893.so, 69.8272 sec
q5_array_1threads_1476432.so, 112.583 sec
q5_array_1threads_2981669.so, 136.106 sec
q5_array_1threads_4945389.so, 72.616 sec
q5_array_1threads_5350530.so, 134.506 sec
q5_array_2threads_10246893.so, 44.0371 sec
q5_array_2threads_1476432.so, 75.104 sec
q5_array_2threads_2981669.so, 79.7857 sec
q5_array_2threads_4945389.so, 43.765 sec
q5_array_2threads_5450530.so, 83.8165 sec
q5_array_4threads_10246893.so, 32.0781 sec
q5_array_4threads_1476432.so, 64.6678 sec
q5_array_4threads_2981669.so, 57.3654 sec
q5_array_4threads_4945389.so, 28.1249 sec
q5_array_4threads_5450530.so, 56.5437 sec
