q5_bca_0threads_10246893.so, 8.04777 sec
q5_bca_0threads_1476432.so, 0.643898 sec
q5_bca_0threads_2981669.so, 12.4796 sec
q5_bca_0threads_4945389.so, 9.14415 sec
q5_bca_0threads_5450530.so, 23.2091 sec
q5_bca_1threads_10246893.so, 9.95862 sec
q5_bca_1threads_1476432.so, 0.771275 sec
q5_bca_1threads_2981669.so, 15.3428 sec
q5_bca_1threads_4945389.so, 11.3838 sec
q5_bca_1threads_5350530.so, 28.5413 sec
q5_bca_2threads_10246893.so, 5.79906 sec
q5_bca_2threads_1476432.so, 0.687219 sec
q5_bca_2threads_2981669.so, 9.72073 sec
q5_bca_2threads_4945389.so, 6.48637 sec
q5_bca_2threads_5450530.so, 16.8724 sec
q5_bca_4threads_10246893.so, 4.14077 sec
q5_bca_4threads_1476432.so, 0.66661 sec
q5_bca_4threads_2981669.so, 6.89847 sec
q5_bca_4threads_4945389.so, 3.99809 sec
q5_bca_4threads_5450530.so, 10.3909 sec
