q5_bca_0threads_10246893.so, 62.6498 sec
q5_bca_0threads_1476432.so, 105.584 sec
q5_bca_0threads_2981669.so, 127.274 sec
q5_bca_0threads_4945389.so, 56.2475 sec
q5_bca_0threads_5450530.so, 104.608 sec
q5_bca_1threads_10246893.so, 76.5079 sec
q5_bca_1threads_1476432.so, 123.888 sec
q5_bca_1threads_2981669.so, 149.331 sec
q5_bca_1threads_4945389.so, 79.4346 sec
q5_bca_1threads_5350530.so, 145.397 sec
q5_bca_2threads_10246893.so, 47.5519 sec
q5_bca_2threads_1476432.so, 81.6851 sec
q5_bca_2threads_2981669.so, 86.0076 sec
q5_bca_2threads_4945389.so, 47.0399 sec
q5_bca_2threads_5450530.so, 90.7388 sec
q5_bca_4threads_10246893.so, 33.9811 sec
q5_bca_4threads_1476432.so, 69.5552 sec
q5_bca_4threads_2981669.so, 59.2335 sec
q5_bca_4threads_4945389.so, 29.2662 sec
q5_bca_4threads_5450530.so, 59.1668 sec
