q5_huff_0threads_10246893.so, 68.5394 sec
q5_huff_0threads_1476432.so, 4.84576 sec
q5_huff_0threads_2981669.so, 108.159 sec
q5_huff_0threads_4945389.so, 81.2261 sec
q5_huff_0threads_5450530.so, 196.994 sec
q5_huff_1threads_10246893.so, 72.1305 sec
q5_huff_1threads_1476432.so, 4.99297 sec
q5_huff_1threads_2981669.so, 110.889 sec
q5_huff_1threads_4945389.so, 82.3568 sec
q5_huff_1threads_5350530.so, 207.325 sec
q5_huff_2threads_10246893.so, 40.7515 sec
q5_huff_2threads_1476432.so, 4.44512 sec
q5_huff_2threads_2981669.so, 68.4219 sec
q5_huff_2threads_4945389.so, 43.8884 sec
q5_huff_2threads_5450530.so, 119.325 sec
q5_huff_4threads_10246893.so, 29.6762 sec
q5_huff_4threads_1476432.so, 5.03766 sec
q5_huff_4threads_2981669.so, 49.5766 sec
q5_huff_4threads_4945389.so, 26.7505 sec
q5_huff_4threads_5450530.so, 70.2012 sec
