q5_huff_0threads_10246893.so, 584.372 sec
q5_huff_0threads_1476432.so, 987.834 sec
q5_huff_0threads_2981669.so, 1143.07 sec
q5_huff_0threads_4945389.so, 602.548 sec
q5_huff_0threads_5450530.so, 1103.56 sec
q5_huff_1threads_10246893.so, 603.027 sec
q5_huff_1threads_1476432.so, 997.062 sec
q5_huff_1threads_2981669.so, 1172.09 sec
q5_huff_1threads_4945389.so, 621.123 sec
q5_huff_1threads_5350530.so, 1137.99 sec
q5_huff_2threads_10246893.so, 365.908 sec
q5_huff_2threads_1476432.so, 649.626 sec
q5_huff_2threads_2981669.so, 666.756 sec
q5_huff_2threads_4945389.so, 365.772 sec
q5_huff_2threads_5450530.so, 697.907 sec
q5_huff_4threads_10246893.so, 247.14 sec
q5_huff_4threads_1476432.so, 536.882 sec
q5_huff_4threads_2981669.so, 420.406 sec
q5_huff_4threads_4945389.so, 204.768 sec
q5_huff_4threads_5450530.so, 415.15 sec
