q5_opt_0threads_10246893.so, 53.4797 sec
q5_opt_0threads_1476432.so, 85.497 sec
q5_opt_0threads_2981669.so, 104.85 sec
q5_opt_0threads_4945389.so, 56.5581 sec
q5_opt_0threads_5450530.so, 104.488 sec
q5_opt_1threads_10246893.so, 74.0841 sec
q5_opt_1threads_1476432.so, 120.73 sec
q5_opt_1threads_2981669.so, 145.742 sec
q5_opt_1threads_4945389.so, 77.2379 sec
q5_opt_1threads_5350530.so, 142.381 sec
q5_opt_2threads_10246893.so, 48.7421 sec
q5_opt_2threads_1476432.so, 83.0278 sec
q5_opt_2threads_2981669.so, 84.057 sec
q5_opt_2threads_4945389.so, 47.389 sec
q5_opt_2threads_5450530.so, 89.9114 sec
q5_opt_4threads_10246893.so, 33.2724 sec
q5_opt_4threads_1476432.so, 67.7747 sec
q5_opt_4threads_2981669.so, 58.9091 sec
q5_opt_4threads_4945389.so, 28.9302 sec
q5_opt_4threads_5450530.so, 57.2626 sec
