q1_array_0threads_10296795.so, 0.123539 sec
 q1_array_0threads_16966392.so, 0.329956 sec
 q1_array_0threads_17044542.so, 0.21907 sec
 q1_array_0threads_17495979.so, 0.254256 sec
 q1_array_0threads_17996791.so, 0.261129 sec
 q1_array_0threads_18681952.so, 0.0387223 sec
 q1_array_0threads_19265035.so, 0.19606 sec
 q1_array_1threads_10296795.so, 0.257528 sec
 q1_array_1threads_16966392.so, 0.769953 sec
 q1_array_1threads_17044542.so, 0.502549 sec
 q1_array_1threads_17495979.so, 0.546433 sec
 q1_array_1threads_17966791.so, 0.602363 sec
 q1_array_1threads_18681952.so, 0.0523875 sec
 q1_array_1threads_19265035.so, 0.415153 sec
 q1_array_2threads_10296795.so, 0.220378 sec
 q1_array_2threads_16966392.so, 0.464134 sec
 q1_array_2threads_17044542.so, 0.322438 sec
 q1_array_2threads_17495979.so, 0.320996 sec
 q1_array_2threads_17996791.so, 0.347918 sec
 q1_array_2threads_18681952.so, 0.0520468 sec
 q1_array_2threads_19265035.so, 0.287199 sec
 q1_array_4threads_10296795.so, 0.14274 sec
 q1_array_4threads_16966392.so, 0.358131 sec
 q1_array_4threads_17044542.so, 0.254001 sec
 q1_array_4threads_17495979.so, 0.282154 sec
 q1_array_4threads_17996791.so, 0.306993 sec
 q1_array_4threads_18681952.so, 0.0523786 sec
 q1_array_4threads_19265035.so, 0.224103 sec
 q2_array_0threads_10296795.so, 0.418583 sec
 q2_array_0threads_16966392.so, 1.22737 sec
 q2_array_0threads_17044542.so, 0.779953 sec
 q2_array_0threads_17495979.so, 0.922044 sec
 q2_array_0threads_17996791.so, 0.95628 sec
 q2_array_0threads_18681952.so, 0.0847484 sec
 q2_array_0threads_19265035.so, 0.707969 sec
 q2_array_1threads_10296795.so, 0.550737 sec
 q2_array_1threads_16966392.so, 1.61657 sec
 q2_array_1threads_17044542.so, 1.02915 sec
 q2_array_1threads_17495979.so, 1.21238 sec
 q2_array_1threads_17966791.so, 1.24351 sec
 q2_array_1threads_18681952.so, 0.100877 sec
 q2_array_1threads_19265035.so, 0.921015 sec
 q2_array_2threads_10296795.so, 0.430123 sec
 q2_array_2threads_16966392.so, 1.06787 sec
 q2_array_2threads_17044542.so, 0.665729 sec
 q2_array_2threads_17495979.so, 0.742922 sec
 q2_array_2threads_17996791.so, 0.769729 sec
 q2_array_2threads_18681952.so, 0.101038 sec
 q2_array_2threads_19265035.so, 0.652018 sec
 q2_array_4threads_10296795.so, 0.315735 sec
 q2_array_4threads_16966392.so, 0.84544 sec
 q2_array_4threads_17044542.so, 0.608245 sec
 q2_array_4threads_17495979.so, 0.704971 sec
 q2_array_4threads_17996791.so, 0.693173 sec
 q2_array_4threads_18681952.so, 0.102519 sec
 q2_array_4threads_19265035.so, 0.490239 sec
 q3_mesh_array_0threads_1570_2584.so, 0.0537594 sec
 q3_mesh_array_0threads_4446_1478.so, 0.0133196 sec
 q3_mesh_array_0threads_4446_535.so, 0.0505561 sec
 q3_mesh_array_0threads_535_1478.so, 0.0667031 sec
 q3_mesh_array_0threads_7608_3646.so, 0.013221 sec
 q3_mesh_array_0threads_90725_1570.so, 0.0330169 sec
 q3_mesh_array_0threads_90725_2584.so, 0.0154059 sec
 q3_mesh_array_1threads_1570_2584.so, 0.0637554 sec
 q3_mesh_array_1threads_4446_1478.so, 0.0134668 sec
 q3_mesh_array_1threads_4446_535.so, 0.0519746 sec
 q3_mesh_array_1threads_535_1478.so, 0.0766906 sec
 q3_mesh_array_1threads_7608_3646.so, 0.0132969 sec
 q3_mesh_array_1threads_90725_1570.so, 0.0328347 sec
 q3_mesh_array_1threads_90725_2584.so, 0.0150232 sec
 q3_mesh_array_2threads_1570_2584.so, 0.0515902 sec
 q3_mesh_array_2threads_4446_1478.so, 0.0134857 sec
 q3_mesh_array_2threads_4446_535.so, 0.0509976 sec
 q3_mesh_array_2threads_535_1478.so, 0.0645491 sec
 q3_mesh_array_2threads_7608_3646.so, 0.0132903 sec
 q3_mesh_array_2threads_90725_1570.so, 0.0328534 sec
 q3_mesh_array_2threads_90725_2584.so, 0.0151431 sec
 q3_mesh_array_4threads_1570_2584.so, 0.0466697 sec
 q3_mesh_array_4threads_4446_1478.so, 0.013456 sec
 q3_mesh_array_4threads_4446_535.so, 0.0505423 sec
 q3_mesh_array_4threads_535_1478.so, 0.0601613 sec
 q3_mesh_array_4threads_7608_3646.so, 0.0133368 sec
 q3_mesh_array_4threads_90725_1570.so, 0.0328748 sec
 q3_mesh_array_4threads_90725_2584.so, 0.0151629 sec
 q4_mesh_array_0threads_1570_2584.so, 0.066277 sec
 q4_mesh_array_0threads_4446_1478.so, 0.00140294 sec
 q4_mesh_array_0threads_4446_535.so, 0.0404301 sec
 q4_mesh_array_0threads_535_1478.so, 0.0782746 sec
 q4_mesh_array_0threads_7608_3646.so, 0.0012222 sec
 q4_mesh_array_0threads_90725_1570.so, 0.0189204 sec
 q4_mesh_array_0threads_90725_2584.so, 0.00120918 sec
 q4_mesh_array_1threads_1570_2584.so, 0.0898139 sec
 q4_mesh_array_1threads_4446_1478.so, 0.00182726 sec
 q4_mesh_array_1threads_4446_535.so, 0.043294 sec
 q4_mesh_array_1threads_535_1478.so, 0.10233 sec
 q4_mesh_array_1threads_7608_3646.so, 0.00141173 sec
 q4_mesh_array_1threads_90725_1570.so, 0.0194268 sec
 q4_mesh_array_1threads_90725_2584.so, 0.00121889 sec
 q4_mesh_array_2threads_1570_2584.so, 0.0914626 sec
 q4_mesh_array_2threads_4446_1478.so, 0.00177795 sec
 q4_mesh_array_2threads_4446_535.so, 0.0425935 sec
 q4_mesh_array_2threads_535_1478.so, 0.102571 sec
 q4_mesh_array_2threads_7608_3646.so, 0.00139226 sec
 q4_mesh_array_2threads_90725_1570.so, 0.0190477 sec
 q4_mesh_array_2threads_90725_2584.so, 0.00123216 sec
 q4_mesh_array_4threads_1570_2584.so, 0.0648156 sec
 q4_mesh_array_4threads_4446_1478.so, 0.00161135 sec
 q4_mesh_array_4threads_4446_535.so, 0.0404773 sec
 q4_mesh_array_4threads_535_1478.so, 0.0758823 sec
 q4_mesh_array_4threads_7608_3646.so, 0.00132199 sec
 q4_mesh_array_4threads_90725_1570.so, 0.0196086 sec
