q1_array_0threads_10296795.so, 1.28896 sec
q1_array_0threads_16966392.so, 1.20863 sec
q1_array_0threads_17044542.so, 0.253619 sec
q1_array_0threads_17495979.so, 1.80053 sec
q1_array_0threads_17996791.so, 1.08608 sec
q1_array_0threads_18681952.so, 1.24527 sec
q1_array_0threads_19265035.so, 0.733615 sec
q1_array_1threads_10296795.so, 2.73765 sec
q1_array_1threads_16966392.so, 2.5559 sec
q1_array_1threads_17044542.so, 0.536554 sec
q1_array_1threads_17495979.so, 4.21985 sec
q1_array_1threads_17966791.so, 2.49529 sec
q1_array_1threads_18681952.so, 3.04928 sec
q1_array_1threads_19265035.so, 1.71796 sec
q1_array_2threads_10296795.so, 1.62516 sec
q1_array_2threads_16966392.so, 1.64875 sec
q1_array_2threads_17044542.so, 0.332395 sec
q1_array_2threads_17495979.so, 2.51316 sec
q1_array_2threads_17996791.so, 1.47102 sec
q1_array_2threads_18681952.so, 1.77086 sec
q1_array_2threads_19265035.so, 1.05942 sec
q1_array_4threads_10296795.so, 1.46381 sec
q1_array_4threads_16966392.so, 1.24155 sec
q1_array_4threads_17044542.so, 0.273779 sec
q1_array_4threads_17495979.so, 1.8639 sec
q1_array_4threads_17996791.so, 1.09127 sec
q1_array_4threads_18681952.so, 1.25825 sec
q1_array_4threads_19265035.so, 0.735724 sec
q2_array_0threads_10296795.so, 4.25533 sec
q2_array_0threads_16966392.so, 4.52557 sec
q2_array_0threads_17044542.so, 1.01783 sec
q2_array_0threads_17495979.so, 6.9872 sec
q2_array_0threads_17996791.so, 4.27347 sec
q2_array_0threads_18681952.so, 4.76574 sec
q2_array_0threads_19265035.so, 2.85256 sec
q2_array_1threads_10296795.so, 5.47208 sec
q2_array_1threads_16966392.so, 5.87808 sec
q2_array_1threads_17044542.so, 1.29694 sec
q2_array_1threads_17495979.so, 9.05403 sec
q2_array_1threads_17966791.so, 5.54609 sec
q2_array_1threads_18681952.so, 6.12959 sec
q2_array_1threads_19265035.so, 3.67753 sec
q2_array_2threads_10296795.so, 3.35373 sec
q2_array_2threads_16966392.so, 3.79733 sec
q2_array_2threads_17044542.so, 0.781679 sec
q2_array_2threads_17495979.so, 5.4044 sec
q2_array_2threads_17996791.so, 3.30978 sec
q2_array_2threads_18681952.so, 3.67791 sec
q2_array_2threads_19265035.so, 2.24947 sec
q2_array_4threads_10296795.so, 2.84963 sec
q2_array_4threads_16966392.so, 2.80797 sec
q2_array_4threads_17044542.so, 0.61331 sec
q2_array_4threads_17495979.so, 4.27284 sec
q2_array_4threads_17996791.so, 2.45722 sec
q2_array_4threads_18681952.so, 2.8421 sec
q2_array_4threads_19265035.so, 1.67145 sec
q3_tag_array_0threads_10350_17630.so, 0.0291616 sec
q3_tag_array_0threads_1130_2994.so, 0.0837877 sec
q3_tag_array_0threads_1412_10350.so, 0.0266619 sec
q3_tag_array_0threads_231_4366.so, 0.0152604 sec
q3_tag_array_0threads_254_7041.so, 0.0657846 sec
q3_tag_array_0threads_879_254.so, 0.0152707 sec
q3_tag_array_0threads_879_7041.so, 0.0410693 sec
q3_tag_array_1threads_10350_17630.so, 0.0306488 sec
q3_tag_array_1threads_1130_2994.so, 0.104205 sec
q3_tag_array_1threads_1412_10350.so, 0.027777 sec
q3_tag_array_1threads_231_4366.so, 0.0153616 sec
q3_tag_array_1threads_254_7041.so, 0.0752145 sec
q3_tag_array_1threads_879_254.so, 0.0152923 sec
q3_tag_array_1threads_879_7041.so, 0.041443 sec
q3_tag_array_2threads_10350_17630.so, 0.0295315 sec
q3_tag_array_2threads_1330_2994.so, 0.0762649 sec
q3_tag_array_2threads_1412_10350.so, 0.027829 sec
q3_tag_array_2threads_231_4366.so, 0.0154053 sec
q3_tag_array_2threads_254_7041.so, 0.0619887 sec
q3_tag_array_2threads_879_254.so, 0.0154021 sec
q3_tag_array_2threads_879_7041.so, 0.0411693 sec
q3_tag_array_4threads_10350_17630.so, 0.0295589 sec
q3_tag_array_4threads_1330_2994.so, 0.0615208 sec
q3_tag_array_4threads_1412_10350.so, 0.0275151 sec
q3_tag_array_4threads_231_4366.so, 0.0154433 sec
q3_tag_array_4threads_254_7041.so, 0.0554061 sec
q3_tag_array_4threads_879_254.so, 0.0152866 sec
q3_tag_array_4threads_879_7041.so, 0.0409292 sec
q4_tag_array_0threads_10350_17630.so, 0.0244145 sec
q4_tag_array_0threads_1130_2994.so, 0.234715 sec
q4_tag_array_0threads_1412_10350.so, 0.0123059 sec
q4_tag_array_0threads_231_4366.so, 0.0028444 sec
q4_tag_array_0threads_254_7041.so, 0.120753 sec
q4_tag_array_0threads_879_254.so, 0.00275857 sec
q4_tag_array_0threads_879_7041.so, 0.0298878 sec
q4_tag_array_1threads_10350_17630.so, 0.0305561 sec
q4_tag_array_1threads_1130_2994.so, 0.368792 sec
q4_tag_array_1threads_1412_10350.so, 0.012573 sec
q4_tag_array_1threads_231_4366.so, 0.00293205 sec
q4_tag_array_1threads_254_7041.so, 0.177644 sec
q4_tag_array_1threads_879_254.so, 0.00301198 sec
q4_tag_array_1threads_879_7041.so, 0.0310501 sec
q4_tag_array_2threads_10350_17630.so, 0.0293571 sec
q4_tag_array_2threads_1330_2994.so, 0.35875 sec
q4_tag_array_2threads_1412_10350.so, 0.0123944 sec
q4_tag_array_2threads_231_4366.so, 0.00295322 sec
q4_tag_array_2threads_254_7041.so, 0.172326 sec
q4_tag_array_2threads_879_254.so, 0.00294869 sec
q4_tag_array_2threads_879_7041.so, 0.0308406 sec
q4_tag_array_4threads_10350_17630.so, 0.0241768 sec
q4_tag_array_4threads_1330_2994.so, 0.276961 sec
q4_tag_array_4threads_1412_10350.so, 0.0127148 sec
q4_tag_array_4threads_231_4366.so, 0.00304629 sec
q4_tag_array_4threads_254_7041.so, 0.126212 sec
q4_tag_array_4threads_879_254.so, 0.002985 sec
q4_tag_array_4threads_879_7041.so, 0.0301236 sec
