q1_opt_0threads_10296795.so, 0.162327 sec
q1_opt_0threads_16966392.so, 0.460756 sec
q1_opt_0threads_17044542.so, 0.303803 sec
q1_opt_0threads_17495979.so, 0.339822 sec
q1_opt_0threads_17996791.so, 0.360939 sec
q1_opt_0threads_18681952.so, 0.04161 sec
q1_opt_0threads_19265035.so, 0.258411 sec
q1_opt_1threads_10296795.so, 0.305905 sec
q1_opt_1threads_16966392.so, 0.925901 sec
q1_opt_1threads_17044542.so, 0.60286 sec
q1_opt_1threads_17495979.so, 0.653185 sec
q1_opt_1threads_17966791.so, 0.723439 sec
q1_opt_1threads_18681952.so, 0.058612 sec
q1_opt_1threads_19265035.so, 0.496706 sec
q1_opt_2threads_10296795.so, 0.258675 sec
q1_opt_2threads_16966392.so, 0.553716 sec
q1_opt_2threads_17044542.so, 0.378746 sec
q1_opt_2threads_17495979.so, 0.368918 sec
q1_opt_2threads_17996791.so, 0.408785 sec
q1_opt_2threads_18681952.so, 0.0592679 sec
q1_opt_2threads_19265035.so, 0.3353 sec
q1_opt_4threads_10296795.so, 0.137763 sec
q1_opt_4threads_16966392.so, 0.390558 sec
q1_opt_4threads_17044542.so, 0.252185 sec
q1_opt_4threads_17495979.so, 0.27699 sec
q1_opt_4threads_17996791.so, 0.359026 sec
q1_opt_4threads_18681952.so, 0.0595049 sec
q1_opt_4threads_19265035.so, 0.253543 sec
q2_opt_0threads_10296795.so, 0.585409 sec
q2_opt_0threads_16966392.so, 1.78468 sec
q2_opt_0threads_17044542.so, 1.13081 sec
q2_opt_0threads_17495979.so, 1.29638 sec
q2_opt_0threads_17996791.so, 1.38582 sec
q2_opt_0threads_18681952.so, 0.104225 sec
q2_opt_0threads_19265035.so, 0.988053 sec
q2_opt_1threads_10296795.so, 0.695314 sec
q2_opt_1threads_16966392.so, 2.11584 sec
q2_opt_1threads_17044542.so, 1.34433 sec
q2_opt_1threads_17495979.so, 1.53769 sec
q2_opt_1threads_17966791.so, 1.63799 sec
q2_opt_1threads_18681952.so, 0.118636 sec
q2_opt_1threads_19265035.so, 1.16783 sec
q2_opt_2threads_10296795.so, 0.552379 sec
q2_opt_2threads_16966392.so, 1.30079 sec
q2_opt_2threads_17044542.so, 0.840607 sec
q2_opt_2threads_17495979.so, 0.879271 sec
q2_opt_2threads_17996791.so, 0.941473 sec
q2_opt_2threads_18681952.so, 0.119391 sec
q2_opt_2threads_19265035.so, 0.777403 sec
q2_opt_4threads_10296795.so, 0.303327 sec
q2_opt_4threads_16966392.so, 0.871291 sec
q2_opt_4threads_17044542.so, 0.549807 sec
q2_opt_4threads_17495979.so, 0.609045 sec
q2_opt_4threads_17996791.so, 0.790319 sec
q2_opt_4threads_18681952.so, 0.118824 sec
q2_opt_4threads_19265035.so, 0.536265 sec
q3_mesh_opt_0threads_1570_2584.so, 0.0671038 sec
q3_mesh_opt_0threads_4446_1478.so, 0.0140974 sec
q3_mesh_opt_0threads_4446_535.so, 0.0660766 sec
q3_mesh_opt_0threads_535_1478.so, 0.0873611 sec
q3_mesh_opt_0threads_7608_3646.so, 0.0137784 sec
q3_mesh_opt_0threads_90725_1570.so, 0.0410711 sec
q3_mesh_opt_0threads_90725_2584.so, 0.0156702 sec
