q1_opt_0threads_10296795.so, 1.53138 sec
q1_opt_0threads_16966392.so, 1.49637 sec
q1_opt_0threads_17044542.so, 0.325027 sec
q1_opt_0threads_17495979.so, 2.42484 sec
q1_opt_0threads_17996791.so, 1.43924 sec
q1_opt_0threads_18681952.so, 1.72221 sec
q1_opt_0threads_19265035.so, 0.981357 sec
q1_opt_1threads_10296795.so, 3.35616 sec
q1_opt_1threads_16966392.so, 3.12109 sec
q1_opt_1threads_17044542.so, 0.647509 sec
q1_opt_1threads_17495979.so, 5.17061 sec
q1_opt_1threads_17966791.so, 3.04937 sec
q1_opt_1threads_18681952.so, 3.77054 sec
q1_opt_1threads_19265035.so, 2.09409 sec
q1_opt_2threads_10296795.so, 1.91896 sec
q1_opt_2threads_16966392.so, 1.9477 sec
q1_opt_2threads_17044542.so, 0.382288 sec
q1_opt_2threads_17495979.so, 2.97918 sec
q1_opt_2threads_17996791.so, 1.7183 sec
q1_opt_2threads_18681952.so, 2.12178 sec
q1_opt_2threads_19265035.so, 1.26491 sec
q1_opt_4threads_10296795.so, 1.40439 sec
q1_opt_4threads_16966392.so, 1.35359 sec
q1_opt_4threads_17044542.so, 0.284667 sec
q1_opt_4threads_17495979.so, 2.0331 sec
q1_opt_4threads_17996791.so, 1.11703 sec
q1_opt_4threads_18681952.so, 1.3352 sec
q1_opt_4threads_19265035.so, 0.787068 sec
q2_opt_0threads_10296795.so, 5.77325 sec
q2_opt_0threads_16966392.so, 5.91383 sec
q2_opt_0threads_17044542.so, 1.24194 sec
q2_opt_0threads_17495979.so, 9.32529 sec
q2_opt_0threads_17996791.so, 5.63412 sec
q2_opt_0threads_18681952.so, 6.44826 sec
q2_opt_0threads_19265035.so, 3.75677 sec
q2_opt_1threads_10296795.so, 6.89828 sec
q2_opt_1threads_16966392.so, 7.04501 sec
q2_opt_1threads_17044542.so, 1.47869 sec
q2_opt_1threads_17495979.so, 11.1134 sec
q2_opt_1threads_17966791.so, 6.70205 sec
q2_opt_1threads_18681952.so, 7.69736 sec
q2_opt_1threads_19265035.so, 4.46792 sec
q2_opt_2threads_10296795.so, 3.9865 sec
q2_opt_2threads_16966392.so, 4.41148 sec
q2_opt_2threads_17044542.so, 0.88516 sec
q2_opt_2threads_17495979.so, 6.48124 sec
q2_opt_2threads_17996791.so, 3.86308 sec
