q1_array_0threads_10296795.so, 0.162912 sec
q1_array_0threads_16966392.so, 0.399491 sec
q1_array_0threads_17044542.so, 0.272718 sec
q1_array_0threads_17495979.so, 0.307097 sec
q1_array_0threads_17996791.so, 0.317848 sec
q1_array_0threads_18681952.so, 0.0609183 sec
q1_array_0threads_19265035.so, 0.23926 sec
q1_array_1threads_10296795.so, 0.173497 sec
q1_array_1threads_16966392.so, 0.396562 sec
q1_array_1threads_17044542.so, 0.296352 sec
q1_array_1threads_17495979.so, 0.330722 sec
q1_array_1threads_17966791.so, 0.356465 sec
q1_array_1threads_18681952.so, 0.080348 sec
q1_array_1threads_19265035.so, 0.259982 sec
q1_array_2threads_10296795.so, 0.259785 sec
q1_array_2threads_16966392.so, 0.525135 sec
q1_array_2threads_17044542.so, 0.369519 sec
q1_array_2threads_17495979.so, 0.366625 sec
q1_array_2threads_17996791.so, 0.398317 sec
q1_array_2threads_18681952.so, 0.0806009 sec
q1_array_2threads_19265035.so, 0.331605 sec
q1_array_4threads_10296795.so, 0.163343 sec
q1_array_4threads_16966392.so, 0.399098 sec
q1_array_4threads_17044542.so, 0.262776 sec
q1_array_4threads_17495979.so, 0.295612 sec
q1_array_4threads_17996791.so, 0.350249 sec
q1_array_4threads_18681952.so, 0.0800327 sec
q1_array_4threads_19265035.so, 0.272383 sec
q2_array_0threads_10296795.so, 0.538099 sec
q2_array_0threads_16966392.so, 1.51679 sec
q2_array_0threads_17044542.so, 0.977411 sec
q2_array_0threads_17495979.so, 1.13634 sec
q2_array_0threads_17996791.so, 1.18254 sec
q2_array_0threads_18681952.so, 0.127612 sec
q2_array_0threads_19265035.so, 0.866786 sec
q2_array_1threads_10296795.so, 0.360746 sec
q2_array_1threads_16966392.so, 0.911804 sec
q2_array_1threads_17044542.so, 0.59562 sec
q2_array_1threads_17495979.so, 0.70915 sec
q2_array_1threads_17966791.so, 0.788816 sec
q2_array_1threads_18681952.so, 0.150797 sec
q2_array_1threads_19265035.so, 0.541098 sec
q2_array_2threads_10296795.so, 0.528384 sec
q2_array_2threads_16966392.so, 1.20584 sec
q2_array_2threads_17044542.so, 0.782711 sec
q2_array_2threads_17495979.so, 0.86417 sec
q2_array_2threads_17996791.so, 0.901295 sec
q2_array_2threads_18681952.so, 0.150432 sec
q2_array_2threads_19265035.so, 0.742849 sec
q2_array_4threads_10296795.so, 0.346267 sec
q2_array_4threads_16966392.so, 0.9117 sec
q2_array_4threads_17044542.so, 0.563623 sec
q2_array_4threads_17495979.so, 0.660374 sec
q2_array_4threads_17996791.so, 0.777306 sec
q2_array_4threads_18681952.so, 0.150584 sec
q2_array_4threads_19265035.so, 0.570419 sec
q3_mesh_array_0threads_1570_2584.so, 0.0825708 sec
q3_mesh_array_0threads_4446_1478.so, 0.0267672 sec
q3_mesh_array_0threads_4446_535.so, 0.0812118 sec
q3_mesh_array_0threads_535_1478.so, 0.10341 sec
q3_mesh_array_0threads_7608_3646.so, 0.0265336 sec
q3_mesh_array_0threads_90725_1570.so, 0.0544592 sec
q3_mesh_array_0threads_90725_2584.so, 0.028353 sec
q3_mesh_array_1threads_1570_2584.so, 0.0682463 sec
q3_mesh_array_1threads_4446_1478.so, 0.0269213 sec
q3_mesh_array_1threads_4446_535.so, 0.0801546 sec
q3_mesh_array_1threads_535_1478.so, 0.089315 sec
q3_mesh_array_1threads_7608_3646.so, 0.0267998 sec
q3_mesh_array_1threads_90725_1570.so, 0.0548679 sec
q3_mesh_array_1threads_90725_2584.so, 0.0291222 sec
q3_mesh_array_2threads_1570_2584.so, 0.0782495 sec
q3_mesh_array_2threads_4446_1478.so, 0.026911 sec
q3_mesh_array_2threads_4446_535.so, 0.0816953 sec
q3_mesh_array_2threads_535_1478.so, 0.0979996 sec
q3_mesh_array_2threads_7608_3646.so, 0.0264895 sec
q3_mesh_array_2threads_90725_1570.so, 0.0544658 sec
q3_mesh_array_2threads_90725_2584.so, 0.0283819 sec
q3_mesh_array_4threads_1570_2584.so, 0.0675895 sec
q3_mesh_array_4threads_4446_1478.so, 0.0269433 sec
