q1_array_0threads_10296795.so, 1.248 sec
q1_array_0threads_16966392.so, 1.25086 sec
q1_array_0threads_17044542.so, 0.295763 sec
q1_array_0threads_17495979.so, 1.99186 sec
q1_array_0threads_17996791.so, 1.20434 sec
q1_array_0threads_18681952.so, 1.41064 sec
q1_array_0threads_19265035.so, 0.825141 sec
q1_array_1threads_10296795.so, 2.9726 sec
q1_array_1threads_16966392.so, 2.82662 sec
q1_array_1threads_17044542.so, 0.608892 sec
q1_array_1threads_17495979.so, 4.5834 sec
q1_array_1threads_17966791.so, 2.72283 sec
q1_array_1threads_18681952.so, 3.33314 sec
q1_array_1threads_19265035.so, 1.87155 sec
q1_array_2threads_10296795.so, 1.72019 sec
q1_array_2threads_16966392.so, 1.77775 sec
q1_array_2threads_17044542.so, 0.376747 sec
q1_array_2threads_17495979.so, 2.6824 sec
q1_array_2threads_17996791.so, 1.56492 sec
q1_array_2threads_18681952.so, 1.90062 sec
q1_array_2threads_19265035.so, 1.15146 sec
q1_array_4threads_10296795.so, 1.34392 sec
q1_array_4threads_16966392.so, 1.30724 sec
q1_array_4threads_17044542.so, 0.301071 sec
q1_array_4threads_17495979.so, 1.98357 sec
q1_array_4threads_17996791.so, 1.1133 sec
q1_array_4threads_18681952.so, 1.29065 sec
q1_array_4threads_19265035.so, 0.781634 sec
q2_array_0threads_10296795.so, 4.57438 sec
q2_array_0threads_16966392.so, 4.85701 sec
q2_array_0threads_17044542.so, 1.07012 sec
q2_array_0threads_17495979.so, 7.49203 sec
q2_array_0threads_17996791.so, 4.58479 sec
q2_array_0threads_18681952.so, 5.09694 sec
q2_array_0threads_19265035.so, 3.03649 sec
q2_array_1threads_10296795.so, 5.70554 sec
q2_array_1threads_16966392.so, 6.21679 sec
q2_array_1threads_17044542.so, 1.34914 sec
q2_array_1threads_17495979.so, 9.54151 sec
q2_array_1threads_17966791.so, 5.74554 sec
q2_array_1threads_18681952.so, 6.48654 sec
q2_array_1threads_19265035.so, 3.79131 sec
q2_array_2threads_10296795.so, 3.44026 sec
q2_array_2threads_16966392.so, 3.91681 sec
q2_array_2threads_17044542.so, 0.856165 sec
