q1_opt_0threads_10296795.so, 0.201379 sec
q1_opt_0threads_16966392.so, 0.540447 sec
q1_opt_0threads_17044542.so, 0.362486 sec
q1_opt_0threads_17495979.so, 0.399925 sec
q1_opt_0threads_17996791.so, 0.429196 sec
q1_opt_0threads_18681952.so, 0.0652719 sec
q1_opt_0threads_19265035.so, 0.309688 sec
q1_opt_1threads_10296795.so, 0.349041 sec
q1_opt_1threads_16966392.so, 1.00573 sec
q1_opt_1threads_17044542.so, 0.659579 sec
q1_opt_1threads_17495979.so, 0.716053 sec
q1_opt_1threads_17966791.so, 0.787696 sec
q1_opt_1threads_18681952.so, 0.0812346 sec
q1_opt_1threads_19265035.so, 0.548294 sec
q1_opt_2threads_10296795.so, 0.292996 sec
q1_opt_2threads_16966392.so, 0.606888 sec
q1_opt_2threads_17044542.so, 0.422687 sec
q1_opt_2threads_17495979.so, 0.409582 sec
q1_opt_2threads_17996791.so, 0.454054 sec
q1_opt_2threads_18681952.so, 0.081347 sec
q1_opt_2threads_19265035.so, 0.372507 sec
q1_opt_4threads_10296795.so, 0.166526 sec
q1_opt_4threads_16966392.so, 0.417083 sec
q1_opt_4threads_17044542.so, 0.277242 sec
q1_opt_4threads_17495979.so, 0.301641 sec
q1_opt_4threads_17996791.so, 0.399065 sec
q1_opt_4threads_18681952.so, 0.0812287 sec
q1_opt_4threads_19265035.so, 0.277767 sec
q2_opt_0threads_10296795.so, 0.648704 sec
q2_opt_0threads_16966392.so, 1.88771 sec
q2_opt_0threads_17044542.so, 1.21609 sec
q2_opt_0threads_17495979.so, 1.38602 sec
q2_opt_0threads_17996791.so, 1.47294 sec
q2_opt_0threads_18681952.so, 0.139513 sec
q2_opt_0threads_19265035.so, 1.05505 sec
q2_opt_1threads_10296795.so, 0.76057 sec
q2_opt_1threads_16966392.so, 2.24083 sec
q2_opt_1threads_17044542.so, 1.43778 sec
q2_opt_1threads_17495979.so, 1.63836 sec
q2_opt_1threads_17966791.so, 1.74463 sec
q2_opt_1threads_18681952.so, 0.154923 sec
q2_opt_1threads_19265035.so, 1.24664 sec
