q1_opt_0threads_10296795.so, 1.80725 sec
q1_opt_0threads_16966392.so, 1.75234 sec
q1_opt_0threads_17044542.so, 0.391877 sec
q1_opt_0threads_17495979.so, 2.82873 sec
q1_opt_0threads_17996791.so, 1.69097 sec
q1_opt_0threads_18681952.so, 2.03908 sec
q1_opt_0threads_19265035.so, 1.16329 sec
q1_opt_1threads_10296795.so, 3.55019 sec
q1_opt_1threads_16966392.so, 3.30153 sec
q1_opt_1threads_17044542.so, 0.708851 sec
q1_opt_1threads_17495979.so, 5.44663 sec
q1_opt_1threads_17966791.so, 3.22144 sec
q1_opt_1threads_18681952.so, 3.98701 sec
q1_opt_1threads_19265035.so, 2.21015 sec
q1_opt_2threads_10296795.so, 2.02486 sec
q1_opt_2threads_16966392.so, 2.07263 sec
q1_opt_2threads_17044542.so, 0.4232 sec
q1_opt_2threads_17495979.so, 3.13453 sec
q1_opt_2threads_17996791.so, 1.81621 sec
q1_opt_2threads_18681952.so, 2.24599 sec
q1_opt_2threads_19265035.so, 1.35439 sec
q1_opt_4threads_10296795.so, 1.47481 sec
q1_opt_4threads_16966392.so, 1.45514 sec
q1_opt_4threads_17044542.so, 0.315642 sec
q1_opt_4threads_17495979.so, 2.12872 sec
q1_opt_4threads_17996791.so, 1.15546 sec
q1_opt_4threads_18681952.so, 1.38099 sec
q1_opt_4threads_19265035.so, 0.854999 sec
q2_opt_0threads_10296795.so, 6.05243 sec
q2_opt_0threads_16966392.so, 6.20929 sec
q2_opt_0threads_17044542.so, 1.33684 sec
q2_opt_0threads_17495979.so, 9.74696 sec
q2_opt_0threads_17996791.so, 5.89377 sec
q2_opt_0threads_18681952.so, 6.77458 sec
q2_opt_0threads_19265035.so, 3.94005 sec
q2_opt_1threads_10296795.so, 7.45719 sec
q2_opt_1threads_16966392.so, 7.60247 sec
q2_opt_1threads_17044542.so, 1.62289 sec
q2_opt_1threads_17495979.so, 11.9831 sec
q2_opt_1threads_17966791.so, 7.23243 sec
q2_opt_1threads_18681952.so, 8.36025 sec
q2_opt_1threads_19265035.so, 4.83791 sec
q2_opt_2threads_10296795.so, 4.29573 sec
q2_opt_2threads_16966392.so, 4.72893 sec
q2_opt_2threads_17044542.so, 0.977646 sec
q2_opt_2threads_17495979.so, 6.91113 sec
q2_opt_2threads_17996791.so, 4.13202 sec
q2_opt_2threads_18681952.so, 4.8075 sec
q2_opt_2threads_19265035.so, 2.94589 sec
q2_opt_4threads_10296795.so, 3.21983 sec
q2_opt_4threads_16966392.so, 3.19693 sec
q2_opt_4threads_17044542.so, 0.711522 sec
q2_opt_4threads_17495979.so, 4.67344 sec
q2_opt_4threads_17996791.so, 2.68653 sec
q2_opt_4threads_18681952.so, 3.13113 sec
q2_opt_4threads_19265035.so, 1.83589 sec
q3_tag_opt_0threads_10350_17630.so, 0.0488878 sec
q3_tag_opt_0threads_1130_2994.so, 0.123014 sec
q3_tag_opt_0threads_1412_10350.so, 0.0452784 sec
q3_tag_opt_0threads_231_4366.so, 0.0271704 sec
q3_tag_opt_0threads_254_7041.so, 0.104264 sec
q3_tag_opt_0threads_879_254.so, 0.0269602 sec
q3_tag_opt_0threads_879_7041.so, 0.0711491 sec
q3_tag_opt_1threads_10350_17630.so, 0.0509563 sec
q3_tag_opt_1threads_1130_2994.so, 0.148021 sec
q3_tag_opt_1threads_1412_10350.so, 0.0450873 sec
q3_tag_opt_1threads_231_4366.so, 0.0272325 sec
q3_tag_opt_1threads_254_7041.so, 0.115462 sec
q3_tag_opt_1threads_879_254.so, 0.0272235 sec
q3_tag_opt_1threads_879_7041.so, 0.0713398 sec
q3_tag_opt_2threads_10350_17630.so, 0.0487815 sec
q3_tag_opt_2threads_1330_2994.so, 0.11069 sec
q3_tag_opt_2threads_1412_10350.so, 0.0451306 sec
q3_tag_opt_2threads_231_4366.so, 0.0272464 sec
q3_tag_opt_2threads_254_7041.so, 0.0979314 sec
q3_tag_opt_2threads_879_254.so, 0.0271434 sec
q3_tag_opt_2threads_879_7041.so, 0.0711455 sec
q3_tag_opt_4threads_10350_17630.so, 0.047443 sec
q3_tag_opt_4threads_1330_2994.so, 0.0899884 sec
q3_tag_opt_4threads_1412_10350.so, 0.0450662 sec
q3_tag_opt_4threads_231_4366.so, 0.0271878 sec
q3_tag_opt_4threads_254_7041.so, 0.0885554 sec
q3_tag_opt_4threads_879_254.so, 0.0270031 sec
q3_tag_opt_4threads_879_7041.so, 0.0707721 sec
q4_tag_opt_0threads_10350_17630.so, 0.0430322 sec
q4_tag_opt_0threads_1130_2994.so, 0.460451 sec
q4_tag_opt_0threads_1412_10350.so, 0.0203686 sec
q4_tag_opt_0threads_231_4366.so, 0.00444555 sec
q4_tag_opt_0threads_254_7041.so, 0.229133 sec
q4_tag_opt_0threads_879_254.so, 0.00437463 sec
q4_tag_opt_0threads_879_7041.so, 0.0514347 sec
q4_tag_opt_1threads_10350_17630.so, 0.0497857 sec
q4_tag_opt_1threads_1130_2994.so, 0.605482 sec
q4_tag_opt_1threads_1412_10350.so, 0.0215387 sec
q4_tag_opt_1threads_231_4366.so, 0.00471242 sec
q4_tag_opt_1threads_254_7041.so, 0.29051 sec
q4_tag_opt_1threads_879_254.so, 0.00463721 sec
q4_tag_opt_1threads_879_7041.so, 0.054033 sec
q4_tag_opt_2threads_10350_17630.so, 0.04396 sec
q4_tag_opt_2threads_1330_2994.so, 0.496542 sec
q4_tag_opt_2threads_1412_10350.so, 0.0215081 sec
q4_tag_opt_2threads_231_4366.so, 0.00468529 sec
q4_tag_opt_2threads_254_7041.so, 0.245727 sec
q4_tag_opt_2threads_879_254.so, 0.00478617 sec
q4_tag_opt_2threads_879_7041.so, 0.0530391 sec
q4_tag_opt_4threads_10350_17630.so, 0.0356302 sec
q4_tag_opt_4threads_1330_2994.so, 0.317993 sec
q4_tag_opt_4threads_1412_10350.so, 0.0215036 sec
q4_tag_opt_4threads_231_4366.so, 0.00475277 sec
q4_tag_opt_4threads_254_7041.so, 0.170653 sec
q4_tag_opt_4threads_879_254.so, 0.00467183 sec
q4_tag_opt_4threads_879_7041.so, 0.0515455 sec
