q5_array_0threads_10246893.so, 7.55618 sec
q5_array_0threads_1476432.so, 0.575643 sec
q5_array_0threads_2981669.so, 11.7396 sec
q5_array_0threads_4945389.so, 8.69336 sec
q5_array_0threads_5450530.so, 21.7836 sec
q5_array_1threads_10246893.so, 10.8046 sec
q5_array_1threads_1476432.so, 0.797618 sec
q5_array_1threads_2981669.so, 16.8076 sec
q5_array_1threads_4945389.so, 12.4762 sec
q5_array_1threads_5350530.so, 31.3996 sec
q5_array_2threads_10246893.so, 6.22213 sec
q5_array_2threads_1476432.so, 0.685278 sec
q5_array_2threads_2981669.so, 10.7322 sec
q5_array_2threads_4945389.so, 6.82371 sec
q5_array_2threads_5450530.so, 18.5434 sec
q5_array_4threads_10246893.so, 4.639 sec
q5_array_4threads_1476432.so, 0.764011 sec
q5_array_4threads_2981669.so, 7.69529 sec
q5_array_4threads_4945389.so, 4.40684 sec
q5_array_4threads_5450530.so, 11.3197 sec
