q5_array_0threads_10246893.so, 59.4873 sec
q5_array_0threads_1476432.so, 95.5115 sec
q5_array_0threads_2981669.so, 116.078 sec
q5_array_0threads_4945389.so, 61.3278 sec
q5_array_0threads_5450530.so, 113.514 sec
q5_array_1threads_10246893.so, 86.8641 sec
q5_array_1threads_1476432.so, 141.987 sec
q5_array_1threads_2981669.so, 169.444 sec
q5_array_1threads_4945389.so, 89.8753 sec
q5_array_1threads_5350530.so, 165.786 sec
q5_array_2threads_10246893.so, 54.1514 sec
q5_array_2threads_1476432.so, 92.8823 sec
q5_array_2threads_2981669.so, 97.5544 sec
q5_array_2threads_4945389.so, 54.1992 sec
q5_array_2threads_5450530.so, 103.691 sec
q5_array_4threads_10246893.so, 35.9033 sec
q5_array_4threads_1476432.so, 75.0319 sec
q5_array_4threads_2981669.so, 64.1715 sec
q5_array_4threads_4945389.so, 31.9074 sec
q5_array_4threads_5450530.so, 63.8177 sec
