q5_bca_0threads_10246893.so, 8.25264 sec
q5_bca_0threads_1476432.so, 0.62192 sec
q5_bca_0threads_2981669.so, 12.7877 sec
q5_bca_0threads_4945389.so, 9.48984 sec
q5_bca_0threads_5450530.so, 23.8029 sec
q5_bca_1threads_10246893.so, 11.5745 sec
q5_bca_1threads_1476432.so, 0.848295 sec
q5_bca_1threads_2981669.so, 17.9409 sec
q5_bca_1threads_4945389.so, 13.3067 sec
q5_bca_1threads_5350530.so, 33.6437 sec
q5_bca_2threads_10246893.so, 6.58737 sec
q5_bca_2threads_1476432.so, 0.727063 sec
q5_bca_2threads_2981669.so, 11.299 sec
q5_bca_2threads_4945389.so, 7.24222 sec
q5_bca_2threads_5450530.so, 19.7823 sec
q5_bca_4threads_10246893.so, 4.90556 sec
q5_bca_4threads_1476432.so, 0.828068 sec
q5_bca_4threads_2981669.so, 8.19764 sec
q5_bca_4threads_4945389.so, 4.6278 sec
q5_bca_4threads_5450530.so, 12.0795 sec
