q5_bca_0threads_10246893.so, 65.3654 sec
q5_bca_0threads_1476432.so, 105.255 sec
q5_bca_0threads_2981669.so, 127.456 sec
q5_bca_0threads_4945389.so, 67.3769 sec
q5_bca_0threads_5450530.so, 124.5 sec
q5_bca_1threads_10246893.so, 93.2855 sec
q5_bca_1threads_1476432.so, 151.612 sec
q5_bca_1threads_2981669.so, 181.549 sec
q5_bca_1threads_4945389.so, 96.4497 sec
q5_bca_1threads_5350530.so, 177.65 sec
q5_bca_2threads_10246893.so, 56.3096 sec
q5_bca_2threads_1476432.so, 97.631 sec
q5_bca_2threads_2981669.so, 101.734 sec
q5_bca_2threads_4945389.so, 56.6204 sec
q5_bca_2threads_5450530.so, 108.544 sec
q5_bca_4threads_10246893.so, 37.7753 sec
q5_bca_4threads_1476432.so, 79.6337 sec
q5_bca_4threads_2981669.so, 66.78 sec
q5_bca_4threads_4945389.so, 32.7415 sec
q5_bca_4threads_5450530.so, 65.7786 sec
