q5_huff_0threads_10246893.so, 77.378 sec
q5_huff_0threads_1476432.so, 5.34302 sec
q5_huff_0threads_2981669.so, 119.226 sec
q5_huff_0threads_4945389.so, 88.7638 sec
q5_huff_0threads_5450530.so, 223.469 sec
q5_huff_1threads_10246893.so, 80.3206 sec
q5_huff_1threads_2981669.so, 123.623 sec
q5_huff_1threads_4945389.so, 91.9389 sec
q5_huff_1threads_5350530.so, 232.145 sec
q5_huff_2threads_10246893.so, 46.276 sec
q5_huff_2threads_2981669.so, 76.9862 sec
q5_huff_2threads_4945389.so, 49.6259 sec
q5_huff_2threads_5450530.so, 135.092 sec
q5_huff_4threads_10246893.so, 33.9966 sec
q5_huff_4threads_1476432.so, 5.79601 sec
q5_huff_4threads_2981669.so, 56.6432 sec
q5_huff_4threads_4945389.so, 30.7781 sec
q5_huff_4threads_5450530.so, 79.9955 sec
