q5_huff_0threads_10246893.so, 661.554 sec
q5_huff_0threads_1476432.so, 1103.58 sec
q5_huff_0threads_2981669.so, 1295.83 sec
q5_huff_0threads_4945389.so, 685.711 sec
q5_huff_0threads_5450530.so, 1254.97 sec
q5_huff_1threads_10246893.so, 712.966 sec
q5_huff_1threads_2981669.so, 1350.39 sec
q5_huff_1threads_4945389.so, 712.656 sec
q5_huff_1threads_5350530.so, 1305.05 sec
q5_huff_2threads_10246893.so, 419.639 sec
q5_huff_2threads_2981669.so, 750.27 sec
q5_huff_2threads_4945389.so, 416.735 sec
q5_huff_2threads_5450530.so, 794.176 sec
q5_huff_4threads_10246893.so, 286.754 sec
q5_huff_4threads_1476432.so, 621.326 sec
q5_huff_4threads_2981669.so, 481.445 sec
q5_huff_4threads_4945389.so, 236.508 sec
q5_huff_4threads_5450530.so, 477.428 sec
