q5_opt_0threads_10246893.so, 8.22453 sec
q5_opt_0threads_1476432.so, 0.623172 sec
q5_opt_0threads_2981669.so, 12.8024 sec
q5_opt_0threads_4945389.so, 9.46525 sec
q5_opt_0threads_5450530.so, 23.8016 sec
q5_opt_1threads_10246893.so, 11.5725 sec
q5_opt_1threads_1476432.so, 0.851371 sec
q5_opt_1threads_2981669.so, 17.9272 sec
q5_opt_1threads_4945389.so, 13.2952 sec
q5_opt_1threads_5350530.so, 33.5791 sec
q5_opt_2threads_10246893.so, 6.56816 sec
q5_opt_2threads_1476432.so, 0.72547 sec
q5_opt_2threads_2981669.so, 11.2772 sec
q5_opt_2threads_4945389.so, 7.19448 sec
q5_opt_2threads_5450530.so, 19.6801 sec
q5_opt_4threads_10246893.so, 4.79187 sec
q5_opt_4threads_1476432.so, 0.81537 sec
q5_opt_4threads_2981669.so, 8.01944 sec
q5_opt_4threads_4945389.so, 4.47075 sec
q5_opt_4threads_5450530.so, 11.8721 sec
