q5_opt_0threads_10246893.so, 66.8493 sec
q5_opt_0threads_1476432.so, 108.264 sec
q5_opt_0threads_2981669.so, 130.291 sec
q5_opt_0threads_4945389.so, 68.915 sec
q5_opt_0threads_5450530.so, 127.252 sec
q5_opt_1threads_10246893.so, 91.0017 sec
q5_opt_1threads_1476432.so, 151.917 sec
q5_opt_1threads_2981669.so, 177.579 sec
q5_opt_1threads_4945389.so, 94.242 sec
q5_opt_1threads_5350530.so, 173.574 sec
q5_opt_2threads_10246893.so, 55.5044 sec
q5_opt_2threads_1476432.so, 99.7716 sec
q5_opt_2threads_2981669.so, 103.993 sec
q5_opt_2threads_4945389.so, 57.4835 sec
q5_opt_2threads_5450530.so, 109.476 sec
q5_opt_4threads_10246893.so, 39.0294 sec
q5_opt_4threads_1476432.so, 81.7427 sec
q5_opt_4threads_2981669.so, 67.574 sec
q5_opt_4threads_4945389.so, 33.245 sec
q5_opt_4threads_5450530.so, 66.4127 sec
