q1_array_0threads_10296795.so, 0.177164 sec, 0.176575 sec, 0.176588 sec
q1_array_0threads_16966392.so, 0.449472 sec, 0.449212 sec, 0.448511 sec
q1_array_0threads_17044542.so, 0.305715 sec, 0.306625 sec, 0.306141 sec
q1_array_0threads_17495979.so, 0.341391 sec, 0.340294 sec, 0.342225 sec
q1_array_0threads_17996791.so, 0.357396 sec, 0.356486 sec, 0.35855 sec
q1_array_0threads_18681952.so, 0.0636883 sec, 0.0634939 sec, 0.0635774 sec
q1_array_0threads_19265035.so, 0.263496 sec, 0.263495 sec, 0.26293 sec
q1_array_1threads_10296795.so, 0.304717 sec, 0.304769 sec, 0.305466 sec
q1_array_1threads_16966392.so, 0.861215 sec, 0.858852 sec, 0.862732 sec
q1_array_1threads_17044542.so, 0.568676 sec, 0.56981 sec, 0.569067 sec
q1_array_1threads_17495979.so, 0.620544 sec, 0.620884 sec, 0.620507 sec
q1_array_1threads_17966791.so, 0.676358 sec, 0.677542 sec, 0.677002 sec
q1_array_1threads_18681952.so, 0.078945 sec, 0.0784742 sec, 0.0789565 sec
q1_array_1threads_19265035.so, 0.474206 sec, 0.478389 sec, 0.473973 sec
q1_array_2threads_10296795.so, 0.260422 sec, 0.260055 sec, 0.260437 sec
q1_array_2threads_16966392.so, 0.527013 sec, 0.532181 sec, 0.530935 sec
q1_array_2threads_17044542.so, 0.371576 sec, 0.371815 sec, 0.370711 sec
q1_array_2threads_17495979.so, 0.366893 sec, 0.369758 sec, 0.369123 sec
q1_array_2threads_17996791.so, 0.403599 sec, 0.401191 sec, 0.406214 sec
q1_array_2threads_18681952.so, 0.0787156 sec, 0.0783091 sec, 0.0783129 sec
q1_array_2threads_19265035.so, 0.332175 sec, 0.33285 sec, 0.333499 sec
q1_array_4threads_10296795.so, 0.163704 sec, 0.161198 sec, 0.163949 sec
q1_array_4threads_16966392.so, 0.40156 sec, 0.400454 sec, 0.398843 sec
q1_array_4threads_17044542.so, 0.265851 sec, 0.265907 sec, 0.266551 sec
q1_array_4threads_17495979.so, 0.295566 sec, 0.295455 sec, 0.295151 sec
q1_array_4threads_17996791.so, 0.362482 sec, 0.355042 sec, 0.355303 sec
q1_array_4threads_18681952.so, 0.0785398 sec, 0.0784136 sec, 0.0785023 sec
q1_array_4threads_19265035.so, 0.269423 sec, 0.265509 sec, 0.270273 sec
q2_array_0threads_10296795.so, 0.599175 sec, 0.590886 sec, 0.598552 sec
q2_array_0threads_16966392.so, 1.66809 sec, 1.69164 sec, 1.66716 sec
q2_array_0threads_17044542.so, 1.09346 sec, 1.07761 sec, 1.0932 sec
q2_array_0threads_17495979.so, 1.26151 sec, 1.27846 sec, 1.26341 sec
q2_array_0threads_17996791.so, 1.32093 sec, 1.29928 sec, 1.31807 sec
q2_array_0threads_18681952.so, 0.134492 sec, 0.134945 sec, 0.13395 sec
q2_array_0threads_19265035.so, 0.959772 sec, 0.945985 sec, 0.958399 sec
q2_array_1threads_10296795.so, 0.682646 sec, 0.681593 sec, 0.682548 sec
q2_array_1threads_16966392.so, 1.94822 sec, 1.95036 sec, 1.95103 sec
q2_array_1threads_17044542.so, 1.25402 sec, 1.25363 sec, 1.25524 sec
q2_array_1threads_17495979.so, 1.46523 sec, 1.46561 sec, 1.46446 sec
