q1_array_0threads_10296795.so, 1.48233 sec, 1.4894 sec, 1.48703 sec
q1_array_0threads_16966392.so, 1.43817 sec, 1.43983 sec, 1.43983 sec
q1_array_0threads_17044542.so, 0.334196 sec, 0.333277 sec, 0.333409 sec
q1_array_0threads_17495979.so, 2.31097 sec, 2.31631 sec, 2.31491 sec
q1_array_0threads_17996791.so, 1.38449 sec, 1.38446 sec, 1.38581 sec
q1_array_0threads_18681952.so, 1.66937 sec, 1.66996 sec, 1.66616 sec
q1_array_0threads_19265035.so, 0.955752 sec, 0.951723 sec, 0.958095 sec
q1_array_1threads_10296795.so, 2.97577 sec, 2.97703 sec, 2.97496 sec
q1_array_1threads_16966392.so, 2.82033 sec, 2.81885 sec, 2.82087 sec
q1_array_1threads_17044542.so, 0.612087 sec, 0.612267 sec, 0.611922 sec
q1_array_1threads_17495979.so, 4.59347 sec, 4.59384 sec, 4.59108 sec
q1_array_1threads_17966791.so, 2.73285 sec, 2.73482 sec, 2.73071 sec
q1_array_1threads_18681952.so, 3.34178 sec, 3.34598 sec, 3.34174 sec
q1_array_1threads_19265035.so, 1.87279 sec, 1.87361 sec, 1.87233 sec
q1_array_2threads_10296795.so, 1.72561 sec, 1.72319 sec, 1.72726 sec
q1_array_2threads_16966392.so, 1.7883 sec, 1.79165 sec, 1.78605 sec
q1_array_2threads_17044542.so, 0.381145 sec, 0.382216 sec, 0.381175 sec
q1_array_2threads_17495979.so, 2.68713 sec, 2.68714 sec, 2.68527 sec
q1_array_2threads_17996791.so, 1.59081 sec, 1.57232 sec, 1.5745 sec
q1_array_2threads_18681952.so, 1.91532 sec, 1.91256 sec, 1.91733 sec
q1_array_2threads_19265035.so, 1.15714 sec, 1.15489 sec, 1.15859 sec
q1_array_4threads_10296795.so, 1.34675 sec, 1.35357 sec, 1.34951 sec
q1_array_4threads_16966392.so, 1.31153 sec, 1.3118 sec, 1.31164 sec
q1_array_4threads_17044542.so, 0.304065 sec, 0.304024 sec, 0.303954 sec
q1_array_4threads_17495979.so, 1.98935 sec, 1.98471 sec, 2.00171 sec
q1_array_4threads_17996791.so, 1.13549 sec, 1.11905 sec, 1.13322 sec
q1_array_4threads_18681952.so, 1.28537 sec, 1.29377 sec, 1.29177 sec
q1_array_4threads_19265035.so, 0.789036 sec, 0.797024 sec, 0.793078 sec
q2_array_0threads_10296795.so, 5.1732 sec, 5.19698 sec, 5.18901 sec
q2_array_0threads_16966392.so, 5.55324 sec, 5.55525 sec, 5.55375 sec
q2_array_0threads_17044542.so, 1.21903 sec, 1.21928 sec, 1.21878 sec
q2_array_0threads_17495979.so, 8.52325 sec, 8.54195 sec, 8.554 sec
q2_array_0threads_17996791.so, 5.20961 sec, 5.22445 sec, 5.20732 sec
q2_array_0threads_18681952.so, 5.82341 sec, 5.80801 sec, 5.79753 sec
q2_array_0threads_19265035.so, 3.45311 sec, 3.44792 sec, 3.43591 sec
q2_array_1threads_10296795.so, 6.10972 sec, 6.10126 sec, 6.11319 sec
q2_array_1threads_16966392.so, 6.53076 sec, 6.53808 sec, 6.53384 sec
q2_array_1threads_17044542.so, 1.4252 sec, 1.42284 sec, 1.43066 sec
q2_array_1threads_17495979.so, 10.1116 sec, 10.0836 sec, 10.0909 sec
q2_array_1threads_17966791.so, 6.12773 sec, 6.14038 sec, 6.14486 sec
q2_array_1threads_18681952.so, 6.84686 sec, 6.83428 sec, 6.86542 sec
q2_array_1threads_19265035.so, 4.05058 sec, 4.06743 sec, 4.06189 sec
q2_array_2threads_10296795.so, 3.63125 sec, 3.66276 sec, 3.63564 sec
q2_array_2threads_16966392.so, 4.16905 sec, 4.19082 sec, 4.19182 sec
q2_array_2threads_17044542.so, 0.904283 sec, 0.900549 sec, 0.903379 sec
q2_array_2threads_17495979.so, 6.00838 sec, 6.03876 sec, 6.02672 sec
q2_array_2threads_17996791.so, 3.67806 sec, 3.68368 sec, 3.70575 sec
q2_array_2threads_18681952.so, 4.15014 sec, 4.12193 sec, 4.12916 sec
q2_array_2threads_19265035.so, 2.5598 sec, 2.54182 sec, 2.56874 sec
q2_array_4threads_10296795.so, 2.93813 sec, 2.9131 sec, 2.94485 sec
q2_array_4threads_16966392.so, 3.01911 sec, 3.00945 sec, 3.01611 sec
