q1_opt_0threads_10296795.so, 0.209793 sec, 0.210966 sec, 0.210181 sec
q1_opt_0threads_16966392.so, 0.571082 sec, 0.57173 sec, 0.571992 sec
q1_opt_0threads_17044542.so, 0.382152 sec, 0.38255 sec, 0.382043 sec
q1_opt_0threads_17495979.so, 0.420482 sec, 0.422195 sec, 0.422078 sec
q1_opt_0threads_17996791.so, 0.450986 sec, 0.451639 sec, 0.452416 sec
q1_opt_0threads_18681952.so, 0.0667655 sec, 0.0669537 sec, 0.0666741 sec
q1_opt_0threads_19265035.so, 0.322145 sec, 0.32245 sec, 0.322293 sec
q1_opt_1threads_10296795.so, 0.310513 sec, 0.31071 sec, 0.309574 sec
q1_opt_1threads_16966392.so, 0.887821 sec, 0.888965 sec, 0.887496 sec
q1_opt_1threads_17044542.so, 0.585499 sec, 0.584872 sec, 0.584713 sec
q1_opt_1threads_17495979.so, 0.643639 sec, 0.645149 sec, 0.644576 sec
q1_opt_1threads_17966791.so, 0.695478 sec, 0.695877 sec, 0.694525 sec
q1_opt_1threads_18681952.so, 0.0782492 sec, 0.0783713 sec, 0.0783938 sec
q1_opt_1threads_19265035.so, 0.486126 sec, 0.485248 sec, 0.486149 sec
q1_opt_2threads_10296795.so, 0.262285 sec, 0.262458 sec, 0.262542 sec
q1_opt_2threads_16966392.so, 0.546912 sec, 0.549577 sec, 0.547797 sec
q1_opt_2threads_17044542.so, 0.377595 sec, 0.377933 sec, 0.377779 sec
q1_opt_2threads_17495979.so, 0.380816 sec, 0.377646 sec, 0.377202 sec
q1_opt_2threads_17996791.so, 0.408446 sec, 0.408481 sec, 0.408564 sec
q1_opt_2threads_18681952.so, 0.0783606 sec, 0.0782217 sec, 0.0777288 sec
q1_opt_2threads_19265035.so, 0.345466 sec, 0.345822 sec, 0.345983 sec
q1_opt_4threads_10296795.so, 0.164437 sec, 0.164332 sec, 0.164817 sec
q1_opt_4threads_16966392.so, 0.401546 sec, 0.400312 sec, 0.394699 sec
q1_opt_4threads_17044542.so, 0.269384 sec, 0.267876 sec, 0.271892 sec
q1_opt_4threads_17495979.so, 0.294461 sec, 0.295103 sec, 0.302927 sec
