q1_opt_0threads_10296795.so, 1.88679 sec, 1.88537 sec, 1.88603 sec
q1_opt_0threads_16966392.so, 1.80869 sec, 1.80749 sec, 1.80789 sec
q1_opt_0threads_17044542.so, 0.378168 sec, 0.377985 sec, 0.378148 sec
q1_opt_0threads_17495979.so, 2.95872 sec, 2.95537 sec, 2.95431 sec
q1_opt_0threads_17996791.so, 1.74946 sec, 1.74885 sec, 1.74971 sec
q1_opt_0threads_18681952.so, 2.13299 sec, 2.13236 sec, 2.13252 sec
q1_opt_0threads_19265035.so, 1.18858 sec, 1.18898 sec, 1.1886 sec
q1_opt_1threads_10296795.so, 2.97529 sec, 2.97776 sec, 2.97693 sec
q1_opt_1threads_16966392.so, 2.84775 sec, 2.84889 sec, 2.84858 sec
q1_opt_1threads_17044542.so, 0.590919 sec, 0.591906 sec, 0.591049 sec
q1_opt_1threads_17495979.so, 4.68165 sec, 4.68078 sec, 4.68709 sec
q1_opt_1threads_17966791.so, 2.76737 sec, 2.7675 sec, 2.76627 sec
q1_opt_1threads_18681952.so, 3.36364 sec, 3.36392 sec, 3.36529 sec
q1_opt_1threads_19265035.so, 1.87137 sec, 1.87148 sec, 1.87118 sec
q1_opt_2threads_10296795.so, 1.72449 sec, 1.74152 sec, 1.7245 sec
q1_opt_2threads_16966392.so, 1.81612 sec, 1.81094 sec, 1.81507 sec
q1_opt_2threads_17044542.so, 0.359877 sec, 0.358845 sec, 0.359588 sec
q1_opt_2threads_17495979.so, 2.74131 sec, 2.7267 sec, 2.74346 sec
q1_opt_2threads_17996791.so, 1.59516 sec, 1.59428 sec, 1.59364 sec
q1_opt_2threads_18681952.so, 1.92733 sec, 1.9122 sec, 1.92948 sec
q1_opt_2threads_19265035.so, 1.15956 sec, 1.16945 sec, 1.15989 sec
q1_opt_4threads_10296795.so, 1.35902 sec, 1.35277 sec, 1.36241 sec
q1_opt_4threads_16966392.so, 1.33835 sec, 1.33923 sec, 1.33873 sec
q1_opt_4threads_17044542.so, 0.301796 sec, 0.30237 sec, 0.301669 sec
q1_opt_4threads_17495979.so, 2.01817 sec, 2.0104 sec, 2.03907 sec
q1_opt_4threads_17996791.so, 1.15715 sec, 1.14667 sec, 1.13551 sec
q1_opt_4threads_18681952.so, 1.30457 sec, 1.30692 sec, 1.30069 sec
q1_opt_4threads_19265035.so, 0.789902 sec, 0.792279 sec, 0.790836 sec
q2_opt_0threads_10296795.so, 6.39646 sec, 6.40463 sec, 6.39205 sec
q2_opt_0threads_16966392.so, 6.56912 sec, 6.55964 sec, 6.56367 sec
q2_opt_0threads_17044542.so, 1.38867 sec, 1.38898 sec, 1.38767 sec
q2_opt_0threads_17495979.so, 10.3575 sec, 10.3458 sec, 10.3546 sec
q2_opt_0threads_17996791.so, 6.22696 sec, 6.22794 sec, 6.24004 sec
q2_opt_0threads_18681952.so, 7.20777 sec, 7.18987 sec, 7.19355 sec
q2_opt_0threads_19265035.so, 4.16323 sec, 4.16991 sec, 4.16759 sec
q2_opt_1threads_10296795.so, 7.43308 sec, 7.4229 sec, 7.42563 sec
q2_opt_1threads_16966392.so, 7.59829 sec, 7.60749 sec, 7.61304 sec
q2_opt_1threads_17044542.so, 1.60132 sec, 1.60134 sec, 1.60262 sec
q2_opt_1threads_17495979.so, 11.9696 sec, 12.0018 sec, 11.9763 sec
q2_opt_1threads_17966791.so, 7.22487 sec, 7.20411 sec, 7.21815 sec
q2_opt_1threads_18681952.so, 8.31905 sec, 8.35622 sec, 8.31894 sec
q2_opt_1threads_19265035.so, 4.81658 sec, 4.80443 sec, 4.81581 sec
q2_opt_2threads_10296795.so, 4.27644 sec, 4.28967 sec, 4.28032 sec
q2_opt_2threads_16966392.so, 4.74792 sec, 4.75029 sec, 4.7537 sec
q2_opt_2threads_17044542.so, 0.960814 sec, 0.961652 sec, 0.960401 sec
q2_opt_2threads_17495979.so, 6.97685 sec, 6.96601 sec, 6.98092 sec
q2_opt_2threads_17996791.so, 4.13583 sec, 4.14577 sec, 4.13495 sec
q2_opt_2threads_18681952.so, 4.83883 sec, 4.83456 sec, 4.82181 sec
q2_opt_2threads_19265035.so, 2.90024 sec, 2.90444 sec, 2.90362 sec
q2_opt_4threads_10296795.so, 3.21985 sec, 3.20796 sec, 3.21007 sec
q2_opt_4threads_16966392.so, 3.17336 sec, 3.18999 sec, 3.17963 sec
q2_opt_4threads_17044542.so, 0.700103 sec, 0.697225 sec, 0.698343 sec
