q5_array_0threads_10246893.so, 7.81284 sec
q5_array_0threads_1476432.so, 0.591823 sec
q5_array_0threads_2981669.so, 12.1274 sec
q5_array_0threads_4945389.so, 8.98868 sec
q5_array_0threads_5450530.so, 22.5655 sec
q5_array_1threads_10246893.so, 10.7887 sec
q5_array_1threads_1476432.so, 0.7938 sec
q5_array_1threads_2981669.so, 16.7313 sec
q5_array_1threads_4945389.so, 12.3996 sec
q5_array_1threads_5350530.so, 31.3702 sec
q5_array_2threads_10246893.so, 6.47208 sec
q5_array_2threads_1476432.so, 0.731499 sec
q5_array_2threads_2981669.so, 10.8908 sec
q5_array_2threads_4945389.so, 7.07394 sec
q5_array_2threads_5450530.so, 19.1616 sec
q5_array_4threads_10246893.so, 4.6871 sec
q5_array_4threads_1476432.so, 0.785314 sec
q5_array_4threads_2981669.so, 7.94567 sec
q5_array_4threads_4945389.so, 4.44253 sec
q5_array_4threads_5450530.so, 11.6432 sec
