q5_array_0threads_10246893.so, 62.5008 sec
q5_array_0threads_1476432.so, 101.052 sec
q5_array_0threads_2981669.so, 122.462 sec
q5_array_0threads_4945389.so, 64.4639 sec
q5_array_0threads_5450530.so, 119.59 sec
q5_array_1threads_10246893.so, 91.9048 sec
q5_array_1threads_1476432.so, 149.42 sec
q5_array_1threads_2981669.so, 179.526 sec
q5_array_1threads_4945389.so, 95.3572 sec
q5_array_1threads_5350530.so, 175.255 sec
q5_array_2threads_10246893.so, 54.9212 sec
q5_array_2threads_1476432.so, 95.0657 sec
q5_array_2threads_2981669.so, 98.6897 sec
q5_array_2threads_4945389.so, 55.0806 sec
q5_array_2threads_5450530.so, 101.847 sec
q5_array_4threads_10246893.so, 37.5282 sec
q5_array_4threads_1476432.so, 78.5847 sec
q5_array_4threads_2981669.so, 65.1766 sec
q5_array_4threads_4945389.so, 32.5136 sec
q5_array_4threads_5450530.so, 64.9498 sec
