q5_bca_0threads_10246893.so, 8.68993 sec
q5_bca_0threads_1476432.so, 0.649665 sec
q5_bca_0threads_2981669.so, 13.4725 sec
q5_bca_0threads_4945389.so, 9.99545 sec
q5_bca_0threads_5450530.so, 25.0839 sec
q5_bca_1threads_10246893.so, 11.8702 sec
q5_bca_1threads_1476432.so, 0.868265 sec
q5_bca_1threads_2981669.so, 18.3349 sec
q5_bca_1threads_4945389.so, 13.6275 sec
q5_bca_1threads_5350530.so, 34.5035 sec
q5_bca_2threads_10246893.so, 6.7432 sec
q5_bca_2threads_1476432.so, 0.743114 sec
q5_bca_2threads_2981669.so, 11.549 sec
q5_bca_2threads_4945389.so, 7.41444 sec
q5_bca_2threads_5450530.so, 20.1876 sec
q5_bca_4threads_10246893.so, 4.92997 sec
q5_bca_4threads_1476432.so, 0.833906 sec
q5_bca_4threads_2981669.so, 8.19628 sec
q5_bca_4threads_4945389.so, 4.60619 sec
q5_bca_4threads_5450530.so, 12.0723 sec
