q5_bca_0threads_10246893.so, 69.5109 sec
q5_bca_0threads_1476432.so, 112.196 sec
q5_bca_0threads_2981669.so, 135.779 sec
q5_bca_0threads_4945389.so, 71.6822 sec
q5_bca_0threads_5450530.so, 132.45 sec
q5_bca_1threads_10246893.so, 95.5823 sec
q5_bca_1threads_1476432.so, 155.656 sec
q5_bca_1threads_2981669.so, 186.047 sec
q5_bca_1threads_4945389.so, 98.8049 sec
q5_bca_1threads_5350530.so, 173.943 sec
q5_bca_2threads_10246893.so, 55.951 sec
q5_bca_2threads_1476432.so, 100.445 sec
q5_bca_2threads_2981669.so, 105.027 sec
q5_bca_2threads_4945389.so, 57.9791 sec
q5_bca_2threads_5450530.so, 107.697 sec
q5_bca_4threads_10246893.so, 39.4996 sec
q5_bca_4threads_1476432.so, 82.0101 sec
q5_bca_4threads_2981669.so, 68.0733 sec
q5_bca_4threads_4945389.so, 33.9338 sec
q5_bca_4threads_5450530.so, 67.7762 sec
