q5_huff_0threads_10246893.so, 79.4207 sec
q5_huff_0threads_1476432.so, 5.47946 sec
q5_huff_0threads_2981669.so, 122.337 sec
q5_huff_0threads_4945389.so, 90.5759 sec
q5_huff_0threads_5450530.so, 228.887 sec
q5_huff_1threads_10246893.so, 85.9359 sec
q5_huff_1threads_2981669.so, 132.358 sec
q5_huff_1threads_4945389.so, 98.4664 sec
q5_huff_1threads_5350530.so, 248.049 sec
q5_huff_2threads_10246893.so, 49.2242 sec
q5_huff_2threads_2981669.so, 82.6496 sec
q5_huff_2threads_4945389.so, 54.0543 sec
q5_huff_2threads_5450530.so, 146.287 sec
q5_huff_4threads_10246893.so, 36.4872 sec
q5_huff_4threads_1476432.so, 5.67535 sec
q5_huff_4threads_2981669.so, 58.4088 sec
q5_huff_4threads_4945389.so, 33.1527 sec
q5_huff_4threads_5450530.so, 85.6845 sec
