q5_huff_0threads_10246893.so, 677.145 sec
q5_huff_0threads_1476432.so, 1126.02 sec
q5_huff_0threads_2981669.so, 1322.63 sec
q5_huff_0threads_4945389.so, 701.949 sec
q5_huff_0threads_5450530.so, 1283.67 sec
q5_huff_1threads_10246893.so, 734.643 sec
q5_huff_1threads_2981669.so, 1435.19 sec
q5_huff_1threads_4945389.so, 730.591 sec
q5_huff_1threads_5350530.so, 1391.7 sec
q5_huff_2threads_10246893.so, 446.805 sec
q5_huff_2threads_2981669.so, 801.486 sec
q5_huff_2threads_4945389.so, 452.097 sec
q5_huff_2threads_5450530.so, 847.713 sec
q5_huff_4threads_10246893.so, 291.438 sec
q5_huff_4threads_1476432.so, 639.004 sec
q5_huff_4threads_2981669.so, 490.676 sec
q5_huff_4threads_4945389.so, 249.808 sec
q5_huff_4threads_5450530.so, 504.473 sec
