q5_opt_0threads_10246893.so, 8.69355 sec
q5_opt_0threads_1476432.so, 0.655369 sec
q5_opt_0threads_2981669.so, 13.4973 sec
q5_opt_0threads_4945389.so, 10.0115 sec
q5_opt_0threads_5450530.so, 25.1221 sec
q5_opt_1threads_10246893.so, 11.855 sec
q5_opt_1threads_1476432.so, 0.870006 sec
q5_opt_1threads_2981669.so, 18.341 sec
q5_opt_1threads_4945389.so, 13.6092 sec
q5_opt_1threads_5350530.so, 34.3898 sec
q5_opt_2threads_10246893.so, 6.73396 sec
q5_opt_2threads_1476432.so, 0.743737 sec
q5_opt_2threads_2981669.so, 11.5551 sec
q5_opt_2threads_4945389.so, 7.40508 sec
q5_opt_2threads_5450530.so, 20.2099 sec
q5_opt_4threads_10246893.so, 4.89419 sec
q5_opt_4threads_1476432.so, 0.835443 sec
q5_opt_4threads_2981669.so, 8.16631 sec
q5_opt_4threads_4945389.so, 4.58351 sec
q5_opt_4threads_5450530.so, 12.1091 sec
