q5_opt_0threads_10246893.so, 71.0241 sec
q5_opt_0threads_1476432.so, 115.268 sec
q5_opt_0threads_2981669.so, 138.541 sec
q5_opt_0threads_4945389.so, 73.3176 sec
q5_opt_0threads_5450530.so, 135.092 sec
q5_opt_1threads_10246893.so, 99.458 sec
q5_opt_1threads_1476432.so, 162.586 sec
q5_opt_1threads_2981669.so, 193.739 sec
q5_opt_1threads_4945389.so, 103.095 sec
q5_opt_1threads_5350530.so, 189.462 sec
q5_opt_2threads_10246893.so, 59.2424 sec
q5_opt_2threads_1476432.so, 102.942 sec
q5_opt_2threads_2981669.so, 106.781 sec
q5_opt_2threads_4945389.so, 59.1908 sec
q5_opt_2threads_5450530.so, 113.211 sec
q5_opt_4threads_10246893.so, 39.8538 sec
q5_opt_4threads_1476432.so, 83.2236 sec
q5_opt_4threads_2981669.so, 69.8801 sec
q5_opt_4threads_4945389.so, 33.8847 sec
q5_opt_4threads_5450530.so, 69.2008 sec
